"cod","nombre","empresa","categoria","subcategoria","tipo","precio"
7702155021451,"Limpia tapicería en espuma Binner ","BINNER","Supermercado","Aseo de hogar","Alfombras",4.68
7702155016457,"Limpia tapicería y alfombras Binner ","BINNER","Supermercado","Aseo de hogar","Alfombras",4.20
4008455446318,"Limpiador Dr. Beckmann alfombras 2en1 poder oxi ","DR.BECKMANN","Supermercado","Aseo de hogar","Alfombras",4.95
7702532312677,"Aceite Bon Aire eléctrico perfume flores ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",4.50
7702532312967,"Ambientador Aire Varitas Bambú Bonaire 2 Repuestos ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",10.50
7702532314305,"Ambientador Auto Spray Carro Nuevo Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",2.46
7702532300124,"Ambientador Bon Aire electra oíl vainilla ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",4.32
7702532371247,"Ambientador Bon Aire toque único fantasía floral ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",2.18
7702532380317,"Ambientador Bonaire concentrado tropical breeze ","BON AIRE","Supermercado","Aseo de hogar","Ambientadores",2.34
7702532462563,"Ambientador Bonaire fantasía floral + repuesto ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",8.70
7702532313520,"Ambientador Bonaire frutos rojos ","BON AIRE","Supermercado","Aseo de hogar","Ambientadores",4.80
7702532313537,"Ambientador Bonaire vainilla fresa ","BON AIRE","Supermercado","Aseo de hogar","Ambientadores",4.80
7702532911672,"Ambientador Bonaire vainilla seducción + repuesto ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",8.70
7702532312837,"Ambientador Bonaire Varitas Frutos Rojosx80mlx2Und","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",10.50
7702532312844,"Ambientador Bonaire Varitas Vainilla ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",10.50
7702158806048,"Ambientador Brize manzana verde citica frutal bosque aerosol ","BRIZZE","Supermercado","Aseo de hogar","Ambientadores",4.95
7702158806031,"Ambientador Brizze frutos bosque palitos ","BRIZZE","Supermercado","Aseo de hogar","Ambientadores",4.41
7702158805867,"Ambientador brizze frutos bosque palitos ","BRIZZE","Supermercado","Aseo de hogar","Ambientadores",6.30
7702158805423,"Ambientador Brizze palitos de rattan vainilla ","BRIZZE","Supermercado","Aseo de hogar","Ambientadores",3.15
7702158805805,"Ambientador Brizze pasión tropical Palitos ","BRIZZE","Supermercado","Aseo de hogar","Ambientadores",5.46
7702158805850,"Ambientador delicias vailla pltos Brizze ","BRIZZE","Supermercado","Aseo de hogar","Ambientadores",7.35
7591005980839,"Ambientador Eléctrico Liquido Lavanda y Flor De Durazno Glade Aceites Naturales 1 Aparato + 1 Repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.02
7591005981027,"Ambientador Eléctrico Liquido Manzana y Canela Glade Aceites Naturales 1 Aparato + 1 Repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.02
7702430522284,"Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade ","GLADE","Supermercado","Aseo de hogar","Ambientadores",0.56
7591005996526,"Ambientador glade abrazos vainilla líquido repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.41
7591005996373,"Ambientador Glade aceites naturales y alegría floral repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.02
7591005996403,"Ambientador Glade alegría floral líquido repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.53
7591005577626,"Ambientador Glade automático precio especial ","GLADE","Supermercado","Aseo de hogar","Ambientadores",6.93
7591005994348,"Ambientador Glade surtido aerosol ","GLADE","Supermercado","Aseo de hogar","Ambientadores",6.15
7702430526633,"Ambientador Glade toque manzana+ repuestox 2 und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.69
7702532370974,"Ambientador Spray Frescura Ambiental Baby Fresh Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",3.30
7702532370912,"Ambientador Spray Frescura Ambiental Canela Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",2.76
7702532370707,"Ambientador Spray Frescura Ambiental Frutos Rojos Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",3.12
7702532370769,"Ambientador Spray Frescura Ambiental Surtido Bonaire 3 und ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",6.60
7702532313100,"Ambientador Varitas Frescura Citronela Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",5.70
7702532312790,"Ambientador Varitas Frescura Frutos Rojos Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",5.70
7702532312738,"Ambientador Varitas Frescura Lavanda Manzanilla Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",5.70
7702532312714,"Ambientador Varitas Frescura Pomelo Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",5.70
7702532312820,"Ambientador Varitas Frescura Vainilla Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",5.70
5997321750118,"Aromatizante Air Wick Pure aerosol floral magnolia ","AIR WICK","Supermercado","Aseo de hogar","Ambientadores",1.97
8690570538168,"Aromatizante Air Wick Pure aerosol fresco ","AIR WICK","Supermercado","Aseo de hogar","Ambientadores",1.97
7702626216164,"Aromatizante Air Wick Pure Flor magnolia aparato + repuesto ","AIR WICK","Supermercado","Aseo de hogar","Ambientadores",3.27
7702626216133,"Aromatizante Air Wick pure flores de magnolia ","AIR WICK","Supermercado","Aseo de hogar","Ambientadores",6.30
7501058715289,"Aromatizante Air Wick Pure repuesto suavidad ","AIR WICK","Supermercado","Aseo de hogar","Ambientadores",4.11
7702626216140,"Aromatizante Air Wick pure repuesto suavidad algodón ","AIR WICK","Supermercado","Aseo de hogar","Ambientadores",6.30
7702626216157,"Aromatizante Air Wick Pure suave aparato + repuesto ","AIR WICK","Supermercado","Aseo de hogar","Ambientadores",3.27
7591005980709,"Aromatizante De Ambiente En Aerosol Automático 3 En 1 Hawaiian Breeze Glade 1 Aparato + 1 Repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",6.72
7501032938215,"Aromatizante De Ambiente En Aerosol Campos De Lavanda Rociado Fácil Glade ","GLADE","Supermercado","Aseo de hogar","Ambientadores",1.93
7501032900243,"Aromatizante De Ambiente En Aerosol Manzana y Canela Rociado Fácil Glade ","GLADE","Supermercado","Aseo de hogar","Ambientadores",1.80
7501032916176,"Aromatizante De Ambiente En Aerosol Paraiso Azul Rociado Fácil Glade ","GLADE","Supermercado","Aseo de hogar","Ambientadores",1.93
7591005994324,"Aromatizante De Ambiente En Atomizador Campos De Lavanda Glade Toque 1 Aparato + 1 Repuesto","GLADE","Supermercado","Aseo de hogar","Ambientadores",2.76
7591005992740,"Aromatizante De Ambiente En Atomizador Paraíso Azul Glade Toque 1 Aparato + 1 Repuesto","GLADE","Supermercado","Aseo de hogar","Ambientadores",2.70
7501032913199,"Aromatizante Eliminador De Olores y Desinfectante En Aerosol Floral Glade Oust ","GLADE","Supermercado","Aseo de hogar","Ambientadores",2.73
7501032928650,"Aromatizante Eliminador De Olores y Desinfectante En Aerosol Frescura Camprestre Glade Oust ","GLADE","Supermercado","Aseo de hogar","Ambientadores",2.73
7501032909864,"Aromatizante Glade  campos de lavanda gel ","GLADE","Supermercado","Aseo de hogar","Ambientadores",1.09
7501032907280,"Aromatizante Glade 5en1 alegría floral frutos rojos aerosol ","GLADE","Supermercado","Aseo de hogar","Ambientadores",1.93
7706800923183,"Aromatizante Glade aceites rit. ambiente liquido repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",5.28
7706800466055,"Aromatizante Glade actes pop fruta liquido repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",5.28
7706800978114,"Aromatizante Glade actes pop fruta liquido repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.50
7591005995925,"Aromatizante Glade aerosol ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.48
7591005998308,"Aromatizante Glade alegría floral frutos rojos gel ","GLADE","Supermercado","Aseo de hogar","Ambientadores",0.75
7591005996366,"Aromatizante Glade alegría floral gel repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.36
7591005995307,"Aromatizante glade auto sport cool air ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.27
7591005996434,"Aromatizante Glade Automático alegría floral ","GLADE","Supermercado","Aseo de hogar","Ambientadores",6.44
7501032910419,"Aromatizante Glade automático alegría floral fruta repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",5.88
7591005996731,"Aromatizante Glade automático vainilla repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.11
46500716935,"Aromatizante Glade cono brisa Hawaiana gel ","GLADE","Supermercado","Aseo de hogar","Ambientadores",1.09
7591005997134,"Aromatizante Glade electric car aparato + repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.32
7591005997141,"Aromatizanté Glade elegant car aparato + repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.32
7591005998292,"Aromatizante Glade lavanda gel ","GLADE","Supermercado","Aseo de hogar","Ambientadores",0.75
7501032909857,"Aromatizante Glade manzana canela gel ","GLADE","Supermercado","Aseo de hogar","Ambientadores",1.09
7501032917951,"Aromatizante Glade pop frutal aerosol ","GLADE","Supermercado","Aseo de hogar","Ambientadores",2.76
7501032917975,"Aromatizante Glade ritmos ámbar aerosol ","GLADE","Supermercado","Aseo de hogar","Ambientadores",2.76
7591005996489,"Aromatizante Glade vainilla gel repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.36
7591005998544,"Aromatizante Glade velas alegría floral frutos rojos ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.36
7706800847557,"Aromatizante Glade velas pop frutal ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.80
7706800283874,"Aromatizante Glade velas ritmos ámbar ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.80
7591005992542,"Aromatizante Liquido Carro Nuevo Glade Auto Sport 1 Aparato + 1 Repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.90
7591005992559,"Aromatizante Liquido Lavanda Marina Glade Auto Sport 1 Aparato + 1 Repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.90
7591005001114,"Aromatizante Liquido Nitro Glade Auto Sport 1 Aparato + 1 Repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.90
7702026320096,"Elimina olor Familia baño ","FAMILIA","Supermercado","Aseo de hogar","Ambientadores",3.48
7702026143404,"Eliminador de olores baño Familia brisa primavera ","FAMILIA","Supermercado","Aseo de hogar","Ambientadores",2.81
7702026143411,"Eliminador de Olores Baño To Go Nuevas Fragancias ","FAMILIA","Supermercado","Aseo de hogar","Ambientadores",1.01
7702026143343,"Eliminador de Olores Familia Baño Canela Mística ","FAMILIA","Supermercado","Aseo de hogar","Ambientadores",2.81
7702026320744,"Eliminador de Olores Familia Cocina Verbena ","FAMILIA","Supermercado","Aseo de hogar","Ambientadores",2.43
7702026320157,"Eliminador de Olores Familia Frescura Extrema ","FAMILIA","Supermercado","Aseo de hogar","Ambientadores",2.81
7591005994638,"Eliminador de olores Glade lavanda  toque repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.69
7591005994645,"Eliminador de olores Glade manzana canela toque repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.69
7591005994621,"Eliminador de olores Glade paraíso azul toque repuesto ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.69
7702532372114,"Repuesto Ambientador Aerosol Automático Frescura De Lavanda Bonaire ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",6.30
7702532312295,"Repuesto Ambientador Electra Oil Frutos Rojos Bonaire 3 und ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",6.60
7702532840187,"Repuesto Ambientador Electra Oil Surtido Bonaire 3 und ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",6.90
7702532371384,"Repuesto Ambientador Toque Único Surtido Bonaire 3 und ","BONAIRE","Supermercado","Aseo de hogar","Ambientadores",5.58
8690570528404,"Repuesto Aromatizante Air Wick pure magnolia ","AIR WICK","Supermercado","Aseo de hogar","Ambientadores",4.11
7501032905002,"Repuesto Aromatizante De Ambiente En Aerosol Automático 3 En 1 Hawaiian Breeze Glade ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.11
7501032906337,"Repuesto Aromatizante De Ambiente En Aerosol Automático 3 En 1 Paraíso Azul Glade ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.11
7790520527172,"Repuesto aromatizante de ambiente en atomizador campos de lavanda Glade toque ","PATO","Supermercado","Aseo de hogar","Ambientadores",3.72
7591005577701,"Repuesto Aromatizante De Ambiente En Atomizador Paraíso Azul Glade Toque 2 ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.75
7591005006300,"Repuesto Aromatizante De Ambiente En Gel Acqua Glade Sensations 2 Und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.36
7591005993310,"Repuesto Aromatizante De Ambiente En Gel Carro Nuevo Glade Sensations 2 Und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.36
7591005006294,"Repuesto Aromatizante De Ambiente En Gel Hawiian Breeze Glade Sensations 2 Und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.36
7591005006287,"Repuesto Aromatizante De Ambiente En Gel Manzana y Canela Glade Sensations 2 Und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.36
7591005006270,"Repuesto Aromatizante De Ambiente En Gel Néctar De Flores Glade Sensations 2 Und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.36
7591005001695,"Repuesto Aromatizante Liquido Acqua Glade Auto Sport ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.27
7591005992566,"Repuesto Aromatizante Liquido Carro Nuevo Glade Auto Sport ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.27
7591005992573,"Repuesto Aromatizante Liquido Lavanda Marina Glade Auto Sport ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.27
7591005001718,"Repuesto Aromatizante Liquido Nitro Glade Auto Sport ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.27
7591005577718,"Repuesto Aromatizante Liquido Paraíso Azul Glade Auto Sport ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.27
7591005994362,"Repuesto Glade limón aceite natural ","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.53
7591005001046,"Repuestos Ambientador Liquido Hawaiian Breeze Glade Aceites Naturales 2 Und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.69
7591005980853,"Repuestos Ambientador Liquido Lavanda Y flor De Durazno Glade Aceites Naturales 2 Und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.69
7591005577695,"Repuestos Ambientador Liquido Paraíso Azul Glade Aceites Naturales 2 Und ","GLADE","Supermercado","Aseo de hogar","Ambientadores",3.69
7591005001657,"Repuestos Ambientador Liquido Surtido Glade Aceites Naturales 3 Und","GLADE","Supermercado","Aseo de hogar","Ambientadores",4.53
7793253471705,"Aerosol Clorox Desinfectante Fresco ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",2.60
7702137003567,"Clorox Blancos Intensos ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",1.26
7702137620313,"Clorox Floral ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",2.94
7702137622829,"Clorox Floral ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",0.90
7702137622942,"Clorox Limón ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",0.90
7702137622928,"Clorox Limón ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",1.64
7702137624663,"Clorox Limón ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",2.94
7702137622416,"Clorox Menta Fresca ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",1.64
7702137005462,"Clorox Power Gel Floral ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",1.47
7702137006810,"Clorox Power Gel Lavanda ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",1.59
7702137006803,"Clorox Power Gel Lavanda ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",0.80
7702137005455,"Clorox Power Gel Pureza Cítrica ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",1.72
7702137005479,"Clorox Power Gel Regular ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",1.59
7702137623000,"Clorox Regular ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",0.96
7702137624625,"Clorox Regular ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",2.94
7702137622980,"Clorox Regular ","CLOROX","Supermercado","Aseo de hogar","Blanqueadores",1.64
7702137631609,"Límpido Floral ","LIMPIDO","Supermercado","Aseo de hogar","Blanqueadores",0.80
7702137631814,"Límpido Floral ","LIMPIDO","Supermercado","Aseo de hogar","Blanqueadores",1.30
7702137631845,"Límpido Floral ","LIMPIDO","Supermercado","Aseo de hogar","Blanqueadores",2.64
7702137631272,"Límpido Limón ","LIMPIDO","Supermercado","Aseo de hogar","Blanqueadores",0.80
7702137636888,"Límpido Limón ","LIMPIDO","Supermercado","Aseo de hogar","Blanqueadores",2.64
7702137636901,"Límpido Limón ","LIMPIDO","Supermercado","Aseo de hogar","Blanqueadores",1.30
7702137630206,"Límpido Regular ","LIMPIDO","Supermercado","Aseo de hogar","Blanqueadores",1.30
